NAMESHORT_SB;NAME_SB
LAMM-B.ST;LAMMHULTS DESIGN GROUP B
LATO-B.ST;LATOUR INVESTMENT B
LAUR.ST;LAURITZ.COM
LEO.ST;LEOVEGAS
LEX.ST;LEXINGTON COMPANY
LIAB.ST;LINDAB INTERNATIONAL
LIDDS.ST;LIDDS
LIFCO-B.ST;LIFCO B
LIFE B;LIFEASSAYS B
LLSW-B.ST;LIGHTLAB SWE B
LOOM-B.ST;LOOMIS B
LUC.ST;LUCARA DIAMOND
LUG.ST;LUNDIN GOLD
LUMI.ST;LUNDIN MINING
LUND-B.ST;LUNDBERGFORETAGEN B
LUPE.ST;LUNDIN PETROLEUM
MACK-B.ST;MACKMYRA SVENSK WHISKEY B
MAG.ST;MAGNOLIA BOSTAD
MAHA-A.ST;MAHA ENERGY
MAHA-A-TO-1.ST;MAHA ENERGY SUBSCR OPT
MANTEX.ST;MANTEX
MATRA.ST;MATRA PETROLEUM
MAV.ST;MAVSHACK AB
MAXF.ST;MAXFASTIGHETER I SVERIGE
MAXK.ST;MAXKOMPETENS
MCAP.ST;MEDCAP
MCNH.NGM;MEDICA CLINICAL NORTH
MCOV-B.ST;MEDICOVER
MEAB-B.ST;MALMBERGS ELEKTRISKA B
MEDR-B.ST;MEDIRATT B
MEKO.ST;MEKONOMEN
MELK.ST;MELKER SCHORLING
MERT-A.NGM;MERTIVA
MIC-SDB.ST;MILLICOM INTERNATIONAL CELLULAR SDR
MIDW-B.ST;MIDWAY HOLDING B
MIND.ST;MINDMANCER
MINEST.ST;MINESTO
MIPS.ST;MIPS
MOB.ST;MOBERG PHARMA
MOMENT.ST;MOMENT GROUP
MPI.ST;MEDICAL PROGNOSIS INSTITUTE
MQ.ST;MQ HOLDING
MRG.ST;MR GREEN
MSAB-B.ST;MICRO SYSTEMATION B
MSC-B.ST;MSC GROUP
MSON-A.ST;MIDSONA A
MSON-B.ST;MIDSONA B
MTG-A.ST;MTG A
MTG-B.ST;MODERN TIMES GROUP MTG B
MTRS.ST;MUNTERS GROUP
MULQ.ST;MULTIQ INTERNATIONAL
MULT.NGM;MULTIDOCKER CARGO HANDLING
MVIR-B.ST;MEDIVIR B
MYFC.ST;MYFC HOLDING
NAXS.ST;NAXS
NCC-A.ST;NCC A
NCC-B.ST;NCC B
NDA-SEK.ST;NORDEA BANK
NDX.ST;NORDAX GROUP
NEPA.ST;NEPA
NET-B.ST;NETENT
NETI-B.ST;NET INSIGHT B
NEWA-B.ST;NEW WAVE GROUP B
NEXAM.ST;NEXAM CHEMICAL HOLDING
NGQ.ST;NGEX RESOURCES
NGS.ST;NGS GROUP
